Item Code,Avg. Rate,Qty
91002816,0,1
91002818,0,1
91002819,0,8
91002820,0,2
91002821,0,1
91002822,0,15
91002823,0,17
91002824,0,10
91002825,0,1
91002826,0,19
91002827,0,1
91002828,0,1
91002829,0,1
91002830,0,5
91002831,0,3
91002832,0,6
91002833,0,3
91002834,0,7
91002835,0,1
91002836,0,2
91002837,0,1
91002838,0,10
91002839,0,2
91002840,0,1
91002841,0,4
91002842,0,2
91002843,0,3
91002845,0,4
91002846,0,1
91002847,0,1
91002848,0,6
91002849,0,10
91002850,0,2
91002851,0,1
91002852,0,2
91002853,0,1
91002854,0,2
91002855,0,2
91002856,0,6
91002857,0,2
91002860,0,1
91002861,0,2
91002862,0,1
91002863,0,1
91002864,0,2
91002865,0,1
91002867,0,4
91002868,0,2
91002869,0,6
91002870,0,6
91002871,0,1
91002872,0,2
91002874,0,1
91002875,0,2
91002876,0,2
91002877,0,2
91002878,200,2
91002879,0,2
91002880,0,7
91002881,0,9
91002882,0,7
91002883,0,5
91002884,0,1
91002885,0,-1
91002887,0,5
91002888,0,3
91002889,0,1
91002890,0,4
91002891,0,7
91002892,0,6
91002893,0,2
91002894,0,19
91002895,0,2
91002896,428.57,7
91002897,0,3
91002898,0,1
91002899,0,1
91002900,0,1
91002902,0,1
91002903,0,1
91002904,0,1
91002906,0,1
91002907,0,7
91002908,0,31
91002909,0,12
91002910,0,11
91002911,0,106
91002913,0,27
91002914,0,22
91002915,0,33
91002916,0,2
91002917,225,6
91002918,0,6100
91002919,0,2
91002920,0,6
91002921,0,2
91002922,0,37
91002923,0,3
91002924,0,2
91002925,0,3
91002926,0,2
91002927,0,27
91002928,0,13
91002930,0,3
91002931,0,14
91002932,0,2
91002933,0,4
91002934,0,6
91002935,0,2
91002936,0,42
91002937,0,21
91002938,0,4
91002939,0,12
91002940,0,1
91002941,0,1
91002942,0,40
91002943,0,41
91002944,0,4
91002945,0,7
91002946,0,3
91002948,0,3
91002949,0,1
91002950,0,3
91002951,0,3
91002952,0,1
91002953,0,1
91002954,0,7
91002955,225,6
91002957,0,12
91002958,0,42
91002959,0,8
91002964,0,2
91002965,0,1
91002966,0,1
91003001,0,4
91003002,0,7
91003003,0,4
91003004,0,3
91003107,0,12
91003108,0,3
91003109,0,57
91003110,0,12
91003119,0,-2
91003200,0,1
91003201,0,4
91003202,0,1
91003203,0,1
91003204,0,1
91003205,0,2
91003206,0,3
91003207,0,2
91003208,0,1
91003209,0,1
91003210,0,1
91003212,0,1
91003213,0,5
91003216,0,6
91003217,0,1
91003218,0,5
91003219,0,4
91003220,0,2
91003221,0,1
91003222,0,2
91003223,0,225
91003224,0,1
91003227,0,4
91003228,0,24
91003229,0,2
91003230,0,4
91003231,0,1
91003232,0,1
91003233,0,1
91003234,0,1
91003235,0,1
91003236,0,1
91003237,0,2
91003238,0,3
91003239,0,5
91003241,0,4
91003242,0,4
91003782,0,1
91007017,12000,1
91007020,800,3
91007022,0,43
91007023,0,10
91007024,0,5
91007027,0,60
91007028,0,2
91007029,0,4
91007032,0,3
91007037,0,3
91007038,0,1
91007040,0,6
91007042,0,3
91007043,0,6
91007045,0,5
91007047,0,60
91007050,0,5
91007052,0,16
91007057,0,8
91007058,0,6
91007059,0,2
91007060,0,3
91007066,0,14
91007075,0,1
91007077,0,8
91007079,0,22
91007086,0,2
91007094,0,1
91007095,0,20
91007096,0,16
91007097,0,5
91007102,0,2
